name,free-women,free-children,free-places,date
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-06
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-06
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-06
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-06
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-07
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-07
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-07
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-07
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-07
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-07
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-07
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-07
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-07
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-07
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-07
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-08
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-08
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-08
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-08
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-08
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-08
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-08
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-08
